dataset,name,ec50_t,ec50_c,chip_name,chip_dataset
Longxing,EEHEE_31292,3.12,2.48,ladder_0,100K_winter19
Longxing,HEEH_07585,0.26,2.47,ladder_1,100K_winter19
Longxing,EHEE_01661,3.12,2.48,ladder_10,100K_winter19
Inna,HSirpa_2487,0.02,0.73,ladder_100,100K_winter19
Inna,MSirpa_0497,0.64,0.13,ladder_101,100K_winter19
Inna,MSirpa_0969,0.11,0.02,ladder_102,100K_winter19
Inna,HSirpa_2543,0.64,2.59,ladder_103,100K_winter19
Inna,p1-14H-GBL-14H-BBL-15H_0819_0001_0001,4.27,3.31,ladder_104,100K_winter19
Inna,HSirpa_0598,2.32,0.63,ladder_105,100K_winter19
Inna,p1-14H-GBL-14H-GBL-16H_0845_0001_0001,3.39,3.72,ladder_106,100K_winter19
Inna,HSirpa_2007,0.05,0.08,ladder_108,100K_winter19
Inna,HSirpa_2504,1.46,2.62,ladder_109,100K_winter19
Longxing,HEEH_14017,3.12,2.24,ladder_11,100K_winter19
Inna,HSirpa_1796,0.97,2.72,ladder_110,100K_winter19
Inna,MSirpa_0379,0.18,1.17,ladder_111,100K_winter19
Inna,HSirpa_1980,1.23,0.51,ladder_112,100K_winter19
Inna,HSirpa_2082,2.39,0.3,ladder_113,100K_winter19
Inna,HSirpa_0853,0.99,0.32,ladder_114,100K_winter19
Inna,HSirpa_0341,0.02,0.73,ladder_115,100K_winter19
Inna,HSirpa_2039,1.48,0.39,ladder_116,100K_winter19
Inna,HSirpa_1153,1.44,1.04,ladder_117,100K_winter19
Inna,HSirpa_1858,0.4,1.08,ladder_118,100K_winter19
Inna,MSirpa_0634,2.09,2.67,ladder_119,100K_winter19
Longxing,EHEE_01739,0.05,0.7,ladder_12,100K_winter19
Inna,HSirpa_0458,3.79,3.13,ladder_120,100K_winter19
Inna,HSirpa_0276,3.37,2.99,ladder_121,100K_winter19
Inna,MSirpa_0877,3.09,3.21,ladder_123,100K_winter19
Inna,MSirpa_0591,0.1,2.53,ladder_124,100K_winter19
Inna,p1-16H-GABBL-14H-GABBL-15H_0715_0001_0001,2.11,2.78,ladder_125,100K_winter19
Inna,p1-16H-GBL-16H-GBL-15H_0904_0001_0001,0.08,2.68,ladder_126,100K_winter19
Inna,HSirpa_1666,0.14,2.69,ladder_127,100K_winter19
Inna,HSirpa_0055,2.12,2.21,ladder_128,100K_winter19
Inna,HSirpa_0642,3.44,2.42,ladder_129,100K_winter19
Longxing,HEEH_01452,0.02,0.05,ladder_13,100K_winter19
Inna,HSirpa_0846,0.26,1.5,ladder_130,100K_winter19
Inna,p1-16H-GABBL-14H-BBL-14H_0416_0001_0001,3.19,3.05,ladder_131,100K_winter19
Inna,HSirpa_1595,0.18,1.07,ladder_132,100K_winter19
Inna,MSirpa_0770,2.39,0.08,ladder_133,100K_winter19
Inna,HSirpa_1515,0.81,0.51,ladder_134,100K_winter19
Inna,HSirpa_1197,0.05,0.39,ladder_135,100K_winter19
Inna,MSirpa_0653,4.36,3.73,ladder_136,100K_winter19
Inna,MSirpa_0936,1.15,2.74,ladder_137,100K_winter19
Inna,HSirpa_1539,1.04,2.99,ladder_138,100K_winter19
Inna,MSirpa_1020,1.1,3.81,ladder_139,100K_winter19
Longxing,EHEE_01947,0.1,0.52,ladder_14,100K_winter19
Inna,HSirpa_2326,2.31,1.89,ladder_140,100K_winter19
Inna,MSirpa_0813,3.88,1.52,ladder_141,100K_winter19
Inna,HSirpa_2100,0.1,0.13,ladder_142,100K_winter19
Inna,HSirpa_2458,0.02,0.24,ladder_143,100K_winter19
Inna,p1-14H-GBL-14H-GBL-16H_0162_0001,1.86,1.69,ladder_144,100K_winter19
Inna,HSirpa_2288,0.14,0.45,ladder_145,100K_winter19
Inna,MSirpa_0980,0.48,2.66,ladder_146,100K_winter19
Inna,HSirpa_1994,-0.06,0.39,ladder_147,100K_winter19
Inna,HSirpa_1612,0.07,1.17,ladder_148,100K_winter19
